week,date,ask,bid
Week 3,25-Jan-08,15773.1,16211.95714
Week 4,1-Feb-08,15763.35714,16227.64286
Week 1,8-Feb-08,15681.88571,16216.2
Week 2,15-Feb-08,15768.41429,16157.14286
Week 3,22-Feb-08,15699.48571,16169.84286
Week 4,29-Feb-08,15664.72857,16181.78571
Week 1,7-Mar-08,15707.72857,16145.34286
Week 2,14-Mar-08,15606.24286,16084.14286
Week 3,21-Mar-08,15558.5,15994.68571
Week 4,28-Mar-08,15900.18571,16340.32857
Week 1,4-Apr-08,15905.35714,16324.17143
Week 2,11-Apr-08,15936.61429,16351.37143
Week 3,18-Apr-08,15920.9,16364.97143
Week 4,25-Apr-08,15883.1,16298.77143
Week 1,2-May-08,15921.91429,16268.31429
Week 2,9-May-08,15910.45714,16345.18571
Week 3,16-May-08,15888,16372.9
Week 4,23-May-08,15935.77143,16396.91429
Week 1,30-May-08,15983.65714,16478.24286
Week 2,6-Jun-08,16008.01429,16511
Week 3,13-Jun-08,16300.11429,16844.4
Week 4,20-Jun-08,16322.5,16872.28571
Week 1,27-Jun-08,16474.85714,17067.54286
Week 2,4-Jul-08,16567.74286,17151.1
Week 3,11-Jul-08,16544.87143,17082.74286
Week 4,18-Jul-08,16497.58571,17051.4
Week 1,25-Jul-08,16511.5,17130.38571
Week 2,1-Aug-08,16459.77143,17088.57143
Week 3,8-Aug-08,16347.44286,16908.1
Week 4,15-Aug-08,16336.54286,16918.52857
Week 1,22-Aug-08,16322.32857,16882.27143
Week 2,29-Aug-08,16266.65714,16871.34286
Week 3,5-Sep-08,16280.85714,16880.4
Week 4,12-Sep-08,16292.45714,16858.84286
Week 1,19-Sep-08,16305.58571,16857.01429
Week 2,26-Sep-08,16327.5,16880.72857
Week 3,3-Oct-08,16370.12857,16952.02857
Week 4,10-Oct-08,16333.04286,16921.17143
Week 1,17-Oct-08,16368.17143,16967.44286
Week 2,24-Oct-08,16494.75714,17126.75714
Week 3,31-Oct-08,16554.3,17154.51429
Week 4,7-Nov-08,16651.6,17264.97143
Week 1,14-Nov-08,16680.3,17279.55714
Week 2,21-Nov-08,16702.1,17303.07143
Week 3,28-Nov-08,16727.91429,17334.74286
Week 4,5-Dec-08,16646.42857,17276.92857
Week 1,12-Dec-08,16661.35714,17289.22857
Week 2,19-Dec-08,16731.85714,17339.51429
Week 3,26-Dec-08,16886.22857,17488.24286
Week 4,2-Jan-09,17150.41429,17786.17143
Week 1,9-Jan-09,17196.27143,17795.28571
Week 2,16-Jan-09,17130.48571,17780.42857
Week 3,23-Jan-09,17075.72857,17713.97143
Week 4,30-Jan-09,17151.54286,17794.57143
Week 1,6-Feb-09,17075.58571,17712.11429
Week 2,13-Feb-09,17095.62857,17719.3
Week 3,20-Feb-09,17016.52857,17624.64286
Week 4,27-Feb-09,17067.84286,17662.45714
Week 1,6-Mar-09,17086.7,17696.58571
Week 2,13-Mar-09,17028.98571,17637.01429
Week 3,20-Mar-09,17109.4,17710.35714
Week 4,27-Mar-09,17416.28571,18015.45714
Week 1,3-Apr-09,17389,17986.5
Week 2,10-Apr-09,17531.57143,18137.54286
Week 3,17-Apr-09,17415.61429,18027.51429
Week 4,24-Apr-09,17425.51429,18030.91429
Week 1,1-May-09,17485.37143,18087.85714
Week 2,8-May-09,17374.55714,17956.21429
